,OC,MF_OC,EC,MF_EC,ABS_ERROR_EC,ABS_ERROR_OC
25027,1.07,1.07,0.37,0.42819999999999986,0.05819999999999986,0.0
25277,4.5,4.5,1.31,1.3278000000000008,0.017800000000000704,0.0
25362,2.73,2.73,0.52,0.6,0.07999999999999996,0.0
25405,1.38,1.38,0.31,0.31499999999999995,0.004999999999999949,0.0
25406,1.59,1.59,0.6,0.4169,0.18309999999999998,0.0
25465,5.56,5.56,1.86,1.6935999999999998,0.16640000000000033,0.0
25597,2.67,2.67,0.89,0.7247,0.1653,0.0
25600,3.16,3.16,0.68,0.8760000000000002,0.19600000000000017,0.0
25615,2.35,2.35,1.11,0.7433,0.36670000000000014,0.0
25662,1.39,1.39,0.32,0.34689999999999976,0.026899999999999757,0.0
25678,4.67,4.67,0.92,1.0827999999999995,0.1627999999999995,0.0
25697,3.46,3.46,0.89,0.9384000000000003,0.04840000000000033,0.0
25786,4.2,4.2,0.89,1.2249000000000008,0.33490000000000075,0.0
25817,3.18,3.18,1.11,1.038899999999999,0.07110000000000105,0.0
25866,2.15,2.15,0.55,0.5146000000000001,0.03539999999999999,0.0
25960,4.33,4.33,1.38,1.4937,0.11370000000000013,0.0
26002,5.82,5.82,1.73,1.6528999999999998,0.07710000000000017,0.0
26254,3.35,3.35,0.89,0.8356000000000001,0.05439999999999989,0.0
26272,4.19,4.19,0.88,0.9994000000000003,0.11940000000000028,0.0
26283,4.19,4.19,0.78,0.9079000000000002,0.12790000000000012,0.0
26338,4.14,4.14,1.06,0.9978000000000005,0.06219999999999959,0.0
26353,4.77,4.77,1.18,1.0575999999999994,0.12240000000000051,0.0
26401,10.32,10.32,2.84,2.7178000000000013,0.12219999999999853,0.0
26500,2.23,2.23,0.54,0.5484,0.008399999999999963,0.0
26524,6.74,6.74,1.32,1.407700000000001,0.087700000000001,0.0
26550,6.97,6.97,1.83,2.0460999999999996,0.21609999999999951,0.0
26561,7.3,7.3,2.26,2.0707000000000004,0.18929999999999936,0.0
26569,7.7,7.7,2.04,2.031400000000001,0.008599999999999053,0.0
26589,10.7,8.6367,2.78,2.5087,0.27129999999999965,2.0633
26654,8.51,8.51,2.05,2.0953,0.04530000000000012,0.0
26678,2.57,2.57,0.47,0.48989999999999995,0.019899999999999973,0.0
26713,3.9,3.9,0.98,0.8607999999999997,0.1192000000000003,0.0
26725,5.16,5.16,1.7,1.4775999999999994,0.2224000000000006,0.0
26733,8.09,8.09,2.63,2.5475000000000003,0.08249999999999957,0.0
26740,8.09,8.09,2.36,2.5349000000000004,0.1749000000000005,0.0
26760,8.22,8.22,2.39,2.3747000000000016,0.015299999999998537,0.0
26767,7.2,7.2,1.96,1.8348000000000004,0.12519999999999953,0.0
26849,2.59,2.59,0.43,0.5470999999999999,0.11709999999999993,0.0
26941,4.81,4.81,0.96,1.2816999999999996,0.32169999999999965,0.0
26987,4.27,4.27,1.56,1.5325,0.02750000000000008,0.0
26999,4.44,4.44,1.19,1.2013999999999998,0.011399999999999855,0.0
27002,4.78,4.78,1.27,1.244,0.026000000000000023,0.0
